ID;Animatronic;Réalisé;Type;Salle;Nuit;Heure;Chance;weight_png;Weight;RetryWeight;LastNightBoost;Déclencheur;;;Son;Script JS;Terminal;Journal;Cassette;RequiresEvent;Description;Lore
GAB-001;Freddy;X;Screen;Dining Area;1;02h00–03h00;10%;;10;6;3;Observer;;;chair.wav;;;NEWS_GAB_01 ;TAPE_GAB_01 ;;Une chaise est reculée;Quelqu'un était assis
GAB-002;Freddy;X;Screen;Dining Area;1;Toute nuit;15%;;15;8;4;Retour caméra;;;balloon.wav;;PARTY;;;;Un ballon jaune apparaît;Décoration oubliée
JER-001;Bonnie;X;Screen;West Hall;1;Toute nuit;15%;;15;8;4;Observer;;;paper.wav;;DRAWINGS;;;;Une feuille blanche apparaît;Jeremy préparait un dessin
JER-003;Bonnie;X;Screen;Supply Closet;1;03h00–04h00;10%;;10;6;3;Observer;;;crayons.wav;;;NEWS_JER_01;TAPE_JER_01;;Une boîte de crayons apparaît;Crayons oubliés
SUS-001;Chica;X;Screen;Dining Area;1;Toute nuit;15%;;15;8;4;Observer;;;bowl.wav;;PETS;;;;Gamelle métallique sous une table;Appartient au chien
SUS-003;Chica;X;Son;Kitchen;1;04h00–05h00;10%;;10;6;3;Écoute CAM06;;;dog_far.wav;;;NEWS_SUS_01;TAPE_SUS_01;;Aboiement très lointain;Faux espoir
FRT-001;Foxy;;Screen;Pirate Cove;1;Toute nuit;15%;;15;8;4;Observer 5 s;;;toy_roll.wav;;TOYS;;;;Petite voiture rouge apparaît;Jouet préféré de Fritz
FRT-002;Foxy;;Animation;Pirate Cove;1;05h00–06h00;5%;;5;3;5;Retour caméra;;;wheel.wav;;;NEWS_FRT_01;TAPE_FRT_01;;Foxy pousse doucement la voiture;Fritz continue de jouer
;;;;;;;;;;;;;;;;;;;;;;
GAB-003;Freddy;X;Décor;Dining Area;2;01h00;10%;;;;;Observer 8 s;;;—;;;;;;Une cinquième assiette apparaît;Cinquième enfant
GAB-004;Freddy;;IA;Stage;2;03h00;6%;;;;;Retour caméra;;;breathe.wav;;;;;;Freddy regarde une chaise vide;Gabriel attend
GAB-005;Freddy;X;Overlay;Dining Area;2;02h00;12%;;;;;Observer;;;flame.wav;;;;TAPE_GAB_02 ;;Une bougie est allumée;Anniversaire
GAB-006;Freddy;;Son;Bureau;2;02h15;7%;;;;;Silence;;;applause.wav;;;;;;Applaudissements lointains;Souvenir d'une fête
JER-002;Bonnie;X;Overlay;West Hall;2;Retour caméra;12%;;;;;Retour caméra;;;pencil.wav;;LOST_ART;NEWS_JER_02;TAPE_JER_02;;Un soleil est dessiné;Dessin terminé
JER-004;Bonnie;X;IA;Backstage;2;02h00;7%;;;;;Observer 8s;;;scratch.wav;;;;;;Bonnie tient un crayon;Bonnie continue le dessin
JER-006;Bonnie;;Son;Supply Closet;2;Toute nuit;9%;;;;;Silence;;;pencil_loop.wav;;;;;;Bruit de crayon sur papier;Jeremy dessine
JER-008;Bonnie;X;Décor;Supply Closet;3;01h00;6%;;;;;Observer;;;paper.wav;;LOST_ART;NEWS_JER_02;TAPE_JER_02;;Deux feuilles sont au sol;Dessins abandonnés
SUS-002;Chica;X;Objet;Dining Area;2;01h00;10%;;;;;Retour caméra;;;chain.wav;;;;;;Laisse rouge oubliée;Dernière promenade
SUS-006;Chica;;Objet;East Hall;3;01h30;6%;;;;;Observer;;;bell.wav;;;;;;???;Objet perdu
SUS-011;Chica;;Objet;Dining Area;2;Toute nuit;8%;;;;;Observer;;;bowl.wav;;;;;;Gamelle déplacée;Quelqu'un est revenu
SUS-012;Chica;;Objet;Dining Area;2;Toute nuit;7%;;;;;Observer;;;chain.wav;;LOST_PETS;NEWS_SUS_02;TAPE_SUS_02;;Laisse au sol;Dernière promenade
FRT-003;Foxy;;Overlay;Pirate Cove;2;Toute nuit;12%;;;;;Retour caméra;;;—;;;;;;La voiture change de position;Souvenir vivant
FRT-004;Foxy;;Objet;Pirate Cove;3;01h45;6%;;;;;Observer;;;wood.wav;;;;;;Bateau pirate miniature;Jeu abandonné
FRT-006;Foxy;;Son;Bureau;2;02h20;7%;;;;;Silence;;;toy_car.wav;;;;;;Petite voiture qui roule;Fritz traverse le couloir
FRT-011;Foxy;;Objet;West Hall;2;Toute nuit;8%;;;;;Observer;;;toy_roll.wav;;PIRATE;NEWS_FRT_01;TAPE_FRT_01;;Voiture rouge;Jouet favori de Fritz
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
GAB-007;Freddy;X;Objet;Dining Area;3;00h00;9%;;;;;Observer;;;paper.wav;;BALLOON;;;;Boîte cadeau fermée;Cadeau jamais ouvert
JER-026;Bonnie;;IA;Backstage;3;01h30;8%;;;;;Observer 8s;;;breath.wav;;;;;;Bonnie regarde un dessin;Il contemple l'œuvre de Jeremy
SUS-006;Chica;;Objet;East Hall;3;01h30;6%;;;;;Observer;;;bell.wav;;;;;;???;Objet perdu
SUS-026;Chica;X;IA;Restroom;3;02h00;6%;;;;;Retour caméra;;;servo.wav;;;;;;Chica regarde la cuisine;Elle cherche quelque chose
FRT-021;Foxy;;IA;Pirate Cove;3;02h30;6%;;;;;Observer 8 s;;;servo.wav;;TABLES;;;;Foxy regarde la voiture;Il surveille le jouet
JER-027;Bonnie;;IA;Backstage;3;02h30;7%;;;;;Observer 8s;;;scratch.wav;;;;;;Bonnie dessine;Le dessin continue sans personne
FRT-007;Foxy;;IA;Pirate Cove;3;03h00;4%;;;;;Observer 10 s;;;wood.wav;;;;;;Foxy ramasse le bateau;Le souvenir évolue
FRT-022;Foxy;;IA;Pirate Cove;3;03h00;5%;;;;;Observer 8 s;;;wood.wav;;;;;;Foxy pousse le bateau;Le jeu continue
SUS-004;Chica;;IA;Kitchen;3;03h00;4%;;;;;Écoute 10 s;;;metal.wav;;;;;;Chica tourne la tête vers une porte;Elle « entend » quelque chose
JER-005;Bonnie;X;Overlay;Dining Area;3;03h00;6%;;;;;Retour caméra;;;—;;;;;;Un dessin est accroché au mur;Personne ne l'avait vu
GAB-008;Freddy;X;Overlay;Dining Area;3;04h00;5%;;;;;Retour caméra;;;—;;;;TAPE_GAB_03 ;;Le cadeau est ouvert;Souvenir évolutif
FRT-016;Foxy;;Overlay;West Hall;3;Retour caméra;6%;;;;;Retour caméra;;;wheel.wav;;;;;;La voiture avance seule;Le jeu continue
SUS-016;Chica;;Overlay;Dining Area;3;Retour caméra;6%;;;;;Retour caméra;;;ceramic.wav;;;;;;Cupcake orienté vers la caméra;Il semble observer
FRT-005;Foxy;;Objet;Pirate Cove;3;Toute nuit;9%;;;;;Observer;;;creak.wav;;;;;;Coffre à trésor entrouvert;Fritz jouait aux pirates
FRT-008;Foxy;;Décor;Pirate Cove;3;Toute nuit;6%;;;;;Observer;;;block.wav;;;;;;Trois cubes en bois apparaissent;Jeu d'enfant
FRT-012;Foxy;;Objet;Pirate Cove;3;Toute nuit;7%;;;;;Observer;;;wood.wav;;;;;;Bateau pirate;Pirate Cove devient un terrain de jeu
FRT-013;Foxy;;Objet;Dining Area;3;Toute nuit;6%;;;;;Observer;;;creak.wav;;;;;;Coffre miniature;Chasse au trésor imaginaire
FRT-014;Foxy;;Objet;West Hall;3;Toute nuit;5%;;;;;Observer;;;block.wav;;LOST_TOYS;NEWS_FRT_02;TAPE_FRT_02;;Cube en bois;Construction interrompue
GAB-021;Freddy;;Décor;Dining Area;3;Toute nuit;8%;;;;;Observer;;;clock.wav;;;NEWS_GAB_02 ;;;Horloge bloquée à 17h45;L'heure de la fête
JER-021;Bonnie;;Objet;Supply Closet;3;Toute nuit;10%;;;;;Observer;;;paper.wav;;;;;;Crayon bleu au sol;Jeremy a commencé son dessin
JER-022;Bonnie;;Objet;Supply Closet;3;Toute nuit;8%;;;;;Observer;;;crack.wav;;;;;;Crayon rouge cassé;Quelqu'un s'est interrompu
SUS-017;Chica;;Overlay;Dining Area;3;Toute nuit;5%;;;;;Observer;;;ceramic.wav;;;;;;Cupcake regarde la porte;Il attend quelqu'un
SUS-021;Chica;;Son;Kitchen;3;Toute nuit;6%;;;;;Écoute;;;bowl_move.wav;;;;;;Gamelle métallique déplacée;Quelqu'un est dans la cuisine
SUS-022;Chica;;Son;Kitchen;3;Toute nuit;5%;;;;;Écoute;;;cupboard.wav;;;;;;Placard ouvert;Une recherche silencieuse
GAB-009;Freddy;X;Objet;Dining Area;3;Toute nuit;8%;;;;;Observer;;;flies.wav;;;;;;Part de gâteau oubliée;Dernier anniversaire
GAB-010;Freddy;X;Objet;Dining Area;3;Toute nuit;6%;;;;;Observer;;;drip.wav;;;;;;Verre en carton renversé;Fête interrompue
GAB-011;Freddy;X;IA;Stage;3;Toute nuit;6%;;;;;Retour caméra;;;breathe.wav;;;;;;Freddy regarde toujours la même chaise;Gabriel attend son père
JER-007;Bonnie;X;Objet;Supply Closet;3;Toute nuit;8%;;;;;Observer;;;eraser.wav;;CLEANING;NEWS_JER_03;TAPE_JER_03;;Une gomme est posée sur le sol, un dessin d'anniversaire est effacé;Quelqu'un corrige
SUS-005;Chica;X;Overlay;Dining Area;3;Toute nuit;7%;;;;;Observer;;;ceramic.wav;;;;;;Cupcake légèrement déplacé;Chica protège un souvenir
SUS-013;Chica;X;Objet;East Hall;3;Toute nuit;6%;;;;;Observer;;;bell.wav;;;;;;Collier usé;Objet jamais récupéré
SUS-014;Chica;X;Décor;East Hall;3;Toute nuit;5%;;;;;Observer;;;step.wav;;KITCHEN;NEWS_SUS_03;TAPE_SUS_03;;Empreintes de pattes poussiéreuses;Vieilles traces
;;;;;;;;;;;;;;;;;;;;;;
JER-028;Bonnie;;IA;Backstage;4;01h00;6%;;;;;Retour caméra;;;paper.wav;;;;;;Bonnie tient une feuille;Il protège un souvenir
GAB-012;Freddy;X;IA;Stage;4;02h00;5%;;;;;Retour caméra;;;servo.wav;;LOST;;;;Freddy regarde la caméra quelques secondes;Michael ressemble à William
FRT-023;Foxy;;IA;Pirate Cove;4;02h30;5%;;;;;Observer 8 s;;;block.wav;;;;;;Foxy ramasse un cube;Il construit quelque chose
JER-009;Bonnie;X;IA;West Hall;4;02h30;4%;;;;;Retour caméra;;;page.wav;;;;;;Bonnie tourne une feuille;Le dessin continue
SUS-027;Chica;X;IA;Stage;4;02h30;5%;;;;;Retour caméra;;;breathe.wav;;;;;;Chica protège le Cupcake;Elle garde un souvenir
SUS-007;Chica;;Son;Bureau;4;02h45;3%;;;;;Silence;;;puppy.wav;;;;;;Petit jappement très faible;Souvenir
JER-029;Bonnie;;IA;Backstage;4;03h00;5%;;;;;Retour caméra;;;servo.wav;;;;;;Bonnie baisse la tête devant un dessin;Comme un instant de recueillement
GAB-013;Freddy;X;IA;Stage;4;03h00;5%;;;;;Observer;;;servo.wav;;;;;;Freddy baisse légèrement la tête;Résignation
SUS-028;Chica;X;IA;Stage;4;03h00;4%;;;;;Observer 10 s;;;servo.wav;;;;;;Chica baisse la tête;Comme si elle pleurait
FRT-024;Foxy;;IA;Pirate Cove;4;03h30;4%;;;;;Retour caméra;;;drop.wav;;;;;;Foxy laisse tomber un jouet;Comme un enfant distrait
FRT-017;Foxy;;Overlay;Dining Area;4;Retour caméra;5%;;;;;Retour caméra;;;wood.wav;;;;;;Le bateau change d'étagère;Quelqu'un joue encore
FRT-018;Foxy;;Overlay;West Hall;4;Retour caméra;5%;;;;;Retour caméra;;;block.wav;;;;;;Un cube disparaît;La construction change
FRT-027;Foxy;;Overlay;Pirate Cove;4;Retour caméra;5%;;;;;Retour caméra;;;crash.wav;;;;;;Tour écroulée;Personne ne l'a vue tomber
GAB-022;Freddy;;Overlay;Dining Area;4;Retour caméra;6%;;;;;Retour caméra;;;tick.wav;;;;;;Horloge repart quelques secondes;Le temps refuse d'avancer
JER-024;Bonnie;;Décor;Supply Closet;4;Retour caméra;6%;;;;;Retour caméra;;;paper.wav;;;;;;Les crayons changent de place;Une présence continue le dessin
SUS-018;Chica;;Overlay;Dining Area;4;Retour caméra;4%;;;;;Retour caméra;;;whoosh.wav;;;;;;Cupcake disparaît une seconde;Impossible à expliquer
SUS-019;Chica;;Overlay;Dining Area;4;Retour caméra;4%;;;;;Retour caméra;;;ceramic.wav;;;;;;Cupcake revient à sa place;Rien n'a changé...
FRT-009;Foxy;;Overlay;West Hall;4;Toute nuit;5%;;;;;Retour caméra;;;wheel.wav;;;;;;Petite voiture dans le couloir;Le souvenir sort de Pirate Cove
FRT-015;Foxy;;Objet;Dining Area;4;Toute nuit;4%;;;;;Observer;;;figurine.wav;;;;;;Figurine pirate;Le capitaine du jeu
FRT-026;Foxy;;Décor;Pirate Cove;4;Toute nuit;5%;;;;;Retour caméra;;;block.wav;;MAINT_05;NEWS_FRT_03;TAPE_FRT_03;;Tour de cubes construite;Un enfant est passé par là
GAB-023;Freddy;;Décor;Dining Area;4;Toute nuit;5%;;;;;Observer;;;clock_error.wav;;;;;;Une seconde horloge affiche une autre heure;Deux réalités
JER-011;Bonnie;;Objet;Backstage;4;Toute nuit;5%;;;;;Observer;;;—;;;;;;Dessin d'un soleil;Un souvenir heureux avant le drame
JER-016;Bonnie;;Objet;Backstage;4;Toute nuit;5%;;;;;Observer;;;—;;;;;;Dessin de cinq enfants;Première allusion aux victimes
JER-017;Bonnie;;Objet;Backstage;4;Toute nuit;5%;;;;;Observer;;;—;;;;;;Dessin barré;Quelqu'un tente d'effacer le souvenir
JER-018;Bonnie;;Objet;Backstage;4;Toute nuit;5%;;;;;Observer;;;—;;;;;;Dessin déchiré;La mémoire se fragmente
JER-019;Bonnie;;Objet;Backstage;4;Toute nuit;5%;;;;;Observer;;;—;;;;;;Dessin inachevé;Le souvenir reste bloqué
JER-020;Bonnie;;Objet;Backstage;4;Toute nuit;5%;;;;;Observer;;;—;;;;;;Feuille totalement blanche;Le souvenir s'efface
JER-023;Bonnie;;Objet;Supply Closet;4;Toute nuit;7%;;;;;Retour caméra;;;whoosh.wav;;;;;;Le crayon vert disparaît;Le souvenir s'efface
SUS-008;Chica;;Overlay;Kitchen;4;Toute nuit;5%;;;;;Retour écoute;;;bowl_move.wav;;;;;;Bruit de gamelle déplacée;Quelqu'un nourrit encore le chien
SUS-015;Chica;;Objet;Dining Area;4;Toute nuit;5%;;;;;Observer;;;ball.wav;;;;;;Petite balle jaune sous une chaise;Jouet oublié
SUS-023;Chica;;Son;Kitchen;4;Toute nuit;5%;;;;;Écoute;;;cutlery.wav;;;;;;Couverts qui tombent;Bruit métallique inquiétant
SUS-024;Chica;;Son;Kitchen;4;Toute nuit;4%;;;;;Écoute;;;water.wav;;COOKING;;;;Eau qui coule;Quelqu'un utilise l'évier
GAB-014;Freddy;X;IA;Dining Area;4;Toute nuit;4%;;;;;Observer;;;metal.wav;;;NEWS_GAB_03 ;;;Freddy semble regarder un ballon;Dernier souvenir
JER-010;Bonnie;X;Objet;Backstage;4;Toute nuit;5%;;;;;Observer;;;—;;;;;;Un dessin d'enfant est posé sur une table;Aucun adulte ne l'a vu
